id,title,price,currency,condition,date_created,permalink,thumbnail,city,state,seller_id,seller_name,is_car_dealer,year,km,brand,model,version,fuel,transmission,color,doors,engine
MLU1336108350,Kia Sportage 2.0 At,15990,USD,used,2026-04-24T21:23:22.205Z,https://auto.mercadolibre.com.uy/MLU-1336108350-kia-sportage-20-at-_JM,http://http2.mlstatic.com/D_619825-MLU110852961159_042026-I.jpg,Aeropuerto Internacional De Carrasco,Canelones,2124875168,GG20241128141244,True,2016,172000 km,Kia,Sportage,,Nafta,Automática,Blanco,5,2000 cc
MLU1336030728,Bmw X4 2.0t X4 Xdrive20i M Sport Steptronic Sport 184cv,85900,USD,new,2026-04-24T21:57:51.476Z,https://auto.mercadolibre.com.uy/MLU-1336030728-bmw-x4-20t-x4-xdrive20i-m-sport-steptronic-sport-184cv-_JM,http://http2.mlstatic.com/D_833075-MLU109951251294_042026-I.jpg,Barra de Carrasco,Canelones,184161831,VOITURET AUTOMOVILES,True,2024,0 km,BMW,X4,,Nafta,Automática,Gris,5,2000 cc
MLU1336027996,Volkswagen Saveiro 1.6 Gp Cs 101cv,12800,USD,used,2026-04-24T17:34:31.115Z,https://auto.mercadolibre.com.uy/MLU-1336027996-volkswagen-saveiro-16-gp-cs-101cv-_JM,http://http2.mlstatic.com/D_861629-MLU109943078082_042026-I.jpg,Punta Gorda,Montevideo,225082747,MARIÑO SPORT,True,2021,88000 km,Volkswagen,Saveiro,,Nafta,Manual,Blanco,2,1600 cc
MLU1336027070,Nissan Versa 1.6 Advance,15900,USD,used,2026-04-24T15:50:32.684Z,https://auto.mercadolibre.com.uy/MLU-1336027070-nissan-versa-16-advance-_JM,http://http2.mlstatic.com/D_868835-MLU110845527285_042026-I.jpg,Parque Rodó,Montevideo,3044336162,LASTORRES,True,2021,70000 km,Nissan,Versa,,Nafta,Manual,Rojo,4,1600 cc
MLU1336067456,Volkswagen Move Up 1.0 Full 2018,11500,USD,used,2026-04-24T18:06:26.114Z,https://auto.mercadolibre.com.uy/MLU-1336067456-volkswagen-move-up-10-full-2018-_JM,http://http2.mlstatic.com/D_950594-MLU110849999749_042026-I.jpg,Carrasco,Montevideo,165070803,CARRASCOFIANCAR,True,2018,115541 km,Volkswagen,Up!,,Nafta,Manual,Gris oscuro,5,1000 cc
MLU1336027316,Volkswagen Up! 1.0 Move Up! 75cv,10500,USD,used,2026-04-24T16:10:36.785Z,https://auto.mercadolibre.com.uy/MLU-1336027316-volkswagen-up-10-move-up-75cv-_JM,http://http2.mlstatic.com/D_948052-MLU110846276609_042026-I.jpg,La Comercial,Montevideo,1621514483,EFINEGOCIOS,True,2018,126000 km,Volkswagen,Up!,,Nafta,Manual,Blanco,3,1000 cc
MLU1336069434,Byd S1 1.5 2018 Impecable! Aerocar,12990,USD,used,2026-04-24T21:02:45.201Z,https://auto.mercadolibre.com.uy/MLU-1336069434-byd-s1-15-2018-impecable-aerocar-_JM,http://http2.mlstatic.com/D_817729-MLU110854586495_042026-I.jpg,Barra de Carrasco,Canelones,482893325,AEROCAR2020,True,2018,78000 km,BYD,S1,,Nafta,Manual,Gris oscuro,5,1500 cc
MLU1336107312,Ford Ranger 4.0 Xlt V6 Space Cab 4x2,17500,USD,used,2026-04-24T19:52:32.52Z,https://auto.mercadolibre.com.uy/MLU-1336107312-ford-ranger-40-xlt-v6-space-cab-4x2-_JM,http://http2.mlstatic.com/D_960464-MLU110816925041_042026-I.jpg,El Pinar,Canelones,741669939,PIMA1045179,False,1997,193000 km,Ford,Ranger,,Nafta,Manual,Blanco,2,4000 cc
MLU1336103782,Citroën C3 1.2 Pure Tech 110 5v Shine Europa,10300,USD,used,2026-04-24T13:52:10.41Z,https://auto.mercadolibre.com.uy/MLU-1336103782-citron-c3-12-pure-tech-110-5v-shine-europa-_JM,http://http2.mlstatic.com/D_958886-MLU110841685175_042026-I.jpg,Brazo Oriental,Montevideo,2927622500,FELCU,True,2018,110000 km,Citroën,C3,,Nafta,Manual,Negro,5,1200 cc
MLU1336031290,Volkswagen Saveiro 1.6 Gp Cd Trendline 101cv,12990,USD,used,2026-04-24T23:42:39.653Z,https://auto.mercadolibre.com.uy/MLU-1336031290-volkswagen-saveiro-16-gp-cd-trendline-101cv-_JM,http://http2.mlstatic.com/D_764446-MLU110857861659_042026-I.jpg,Centro,Montevideo,1993394449,ISMOTORS,True,2017,100000 km,Volkswagen,Saveiro,,Nafta,Manual,Gris,2,1600 cc
